english,gemini_translate
"All right, break it up! Clear off, the lot of ya!","Được rồi, giải tán đi! Biến hết đi, lũ các người!"
We agree on more than art.,Chúng ta đồng ý với nhau nhiều hơn là về nghệ thuật.
He was like a brother to me.,Anh ấy như một người anh em với tôi.
I'll be there in a minute.,Tôi sẽ đến ngay thôi.
"You would have been,if not for an infusion of your daughter's blood.","Ông đã chết rồi, nếu không nhờ truyền máu của con gái ông."
Up there.,Ở trên đó.
It's wall-to-wall kungfu schools here.,Ở đây đâu đâu cũng là trường dạy kungfu.
There.,Đó.
Try harder.,Cố gắng hơn nữa.
"You have succeeded in your mission, Empress.","Người đã hoàn thành nhiệm vụ, Hoàng hậu."
Calm down.,Bình tĩnh lại.
"The system can't provide that for her, I think that I can.","Hệ thống không thể cung cấp điều đó cho cô ấy, tôi nghĩ tôi có thể."
I don't need any more stuff.,Tôi không cần thêm bất cứ thứ gì nữa.
- So maybe you...,- Vậy có lẽ cô...
- Qualify for what ?,- Đủ điều kiện cho cái gì?
"Sometimes I ate 'em, sometimes I didn't.","Đôi khi tôi ăn chúng, đôi khi không."
He's on his way out.,Anh ta sắp đi rồi.
He says it's better to fight from high ground.,Anh ta nói tốt hơn là nên chiến đấu từ vị trí cao.
Passin' a word or two.,Nói vài lời.
"It was way too intense, man. It was crazy.","Nó quá căng thẳng, anh bạn. Thật điên rồ."
