english,gemini_translate
None of this makes any sense if I didn't have... enough.,Tất cả những điều này đều vô nghĩa nếu tôi không có... đủ.
Bosch will be joining the prison population.,Bosch sẽ gia nhập cộng đồng tù nhân.
All of us are surrounded by ghosts.,Tất cả chúng ta đều bị ma quỷ bao vây.
Let me tell you something...,Để tôi nói cho anh nghe điều này...
"Get it? Your friends might get me in a rush, but not before I make your head into a canoe.","Hiểu không? Bạn bè của mày có thể vồ lấy tao ngay, nhưng không phải trước khi tao biến đầu mày thành một cái xuồng."
"Ms Gennero, I...","Cô Gennero, tôi..."
What about you?,Còn anh thì sao?
Is there not anything different between you two?,Giữa hai người không có gì khác biệt sao?
"You're kind of a jerk, aren't you?","Anh đúng là đồ khốn, phải không?"
I want to do a profile on you.,Tôi muốn lập hồ sơ về anh.
"When they come back, I'll distract them. Then you can go.","Khi họ quay lại, tôi sẽ đánh lạc hướng họ. Sau đó anh có thể đi."
You know how things are.,Anh biết mọi chuyện thế nào rồi đấy.
"""Dear Andre, what a charming gala Christine was, in a word, sublime","""Andre thân mến, buổi dạ tiệc của Christine thật quyến rũ, nói một từ thôi, tuyệt vời"
You do what you want.,Anh muốn làm gì thì làm.
"- Lincoln, no!","- Lincoln, không!"
Three years.,Ba năm.
You've been staying late so many nights.,Anh đã thức khuya rất nhiều đêm rồi.
"Ah, Tibetan pit viper venom.","À, nọc rắn lục Tây Tạng."
It's my son-in-law's marriage !,Đó là đám cưới của con rể tôi!
"So,did you already check outthe apartment?","Vậy, anh đã xem căn hộ chưa?"
