english,gemini_translate
"This is where we wait for the truck, okay?","Đây là nơi chúng ta đợi xe tải, được chứ?"
"No, you haven't.","Không, anh chưa làm."
I think we have to stop sleeping together.,Tôi nghĩ chúng ta phải ngừng ngủ chung.
I spotted it earlier.,Tôi đã phát hiện ra nó lúc nãy.
Tell that OWL I want her to come.,Bảo con Cú đó tôi muốn nó đến.
"Mace, we'll need money.","Mace, chúng ta sẽ cần tiền."
Search:,Tìm kiếm:
I love this thing.,Tôi yêu cái thứ này.
"But how, with your IUD?","Nhưng làm sao, với vòng tránh thai của cô?"
"- Here you go. - I'm talking about my money, bitch.","- Của anh đây. - Tôi đang nói về tiền của tôi, đồ khốn."
Every day I know I will be OK,Mỗi ngày tôi biết mình sẽ ổn thôi.
"I won't slow you down, ser. My lady.","Tôi sẽ không làm ngài chậm lại đâu, thưa ngài. Thưa quý cô của tôi."
Don't worry.,Đừng lo lắng.
- You have more friends than you thought.,- Anh có nhiều bạn hơn anh nghĩ đấy.
"- Yes, I'm afraid so.","- Vâng, tôi e là vậy."
"Not now, nor ever!","Không phải bây giờ, cũng không bao giờ!"
Who we are.,Chúng ta là ai.
I met her a couple years ago.,Tôi gặp cô ấy vài năm trước.
"Q Branch, please.","Q Branch, làm ơn."
We can only wait and see.,Chúng ta chỉ có thể chờ xem.
