english,gemini_translate
"""But don't worry, we can make you comfortable""?","Nhưng đừng lo, chúng tôi có thể giúp cô thoải mái hơn?"
"I'm staying with you, doctor.","Tôi sẽ ở lại với ông, bác sĩ."
Don't tell me to relax.,Đừng bảo tôi thư giãn.
- President of the United States?,- Tổng thống Hoa Kỳ?
We can't discuss them over the phone?,Chúng ta không thể thảo luận chúng qua điện thoại sao?
We haven't told the crew you are alive yet.,Chúng tôi chưa nói với phi hành đoàn rằng anh còn sống.
"- Sir, please move your balloons.","- Thưa ngài, xin hãy di chuyển những quả bóng bay của ngài."
You can collect weapons there.,Anh có thể thu thập vũ khí ở đó.
We can do it together!,Chúng ta có thể làm điều đó cùng nhau!
"Oh, boy.","Ôi, trời ơi."
2006 IUCN Red List of Threatened Species.,Danh sách đỏ các loài bị đe dọa của IUCN năm 2006.
I'd like to apologize.,Tôi muốn xin lỗi.
I guess I'm not much good without her.,Tôi đoán tôi chẳng ra gì nếu không có cô ấy.
- Let me catch my breath.,- Để tôi thở một chút.
"You're okay being a loser, right, babe?","Em ổn với việc là một kẻ thất bại, phải không em yêu?"
chief where did he go again did he go to get leaflets ?,"Trưởng phòng, anh ta lại đi đâu rồi? Anh ta đi lấy tờ rơi à?"
Not even your parents.,Ngay cả bố mẹ anh cũng không.
The hospital's in an uproar looking for you.,Bệnh viện đang náo loạn tìm anh đấy.
She was very pretty. Dressed all in white.,Cô ấy rất xinh đẹp. Mặc toàn đồ trắng.
Remember to give this jade to Funky,Nhớ đưa miếng ngọc này cho Funky.
