english,gemini_translate
We're the last two who need to disappear to keep her safe.,Chúng ta là hai người cuối cùng cần phải biến mất để giữ an toàn cho cô ấy.
"Of course, do you know When I'm in a fighting mode, my face is very vicious...","Tất nhiên, bạn có biết khi tôi ở chế độ chiến đấu, khuôn mặt tôi rất hung dữ..."
Behold our mortal enemy.,Hãy nhìn kẻ thù không đội trời chung của chúng ta.
Er.. well you see.. actually..,"À... ừm, bạn thấy đấy... thực ra..."
I am a Transhuman Interactive Machine.,Tôi là một Cỗ máy Tương tác Siêu nhân.
What for?,Để làm gì?
AJUSSI (Official English Title= The Man From Nowhere) Ajussi: appellation widely used to refer/call an adult man when there's no other appropriate name/title available.,AJUSSI (Tên tiếng Anh chính thức = The Man From Nowhere) Ajussi: cách gọi phổ biến dùng để chỉ/gọi một người đàn ông trưởng thành khi không có tên/danh xưng phù hợp nào khác.
"Now, listen...","Bây giờ, nghe đây..."
"Well, I could sweetheart, but, uh, I'm at work.","Chà, anh có thể đấy em yêu, nhưng, ừm, anh đang làm việc."
You shouldn't be here.,Bạn không nên ở đây.
"Yes, you could!","Vâng, bạn có thể!"
"And now we will hear from our new chief, Agent O.","Và bây giờ chúng ta sẽ nghe từ sếp mới của chúng ta, Đặc vụ O."
-Hi.,-Chào.
10 min. after 8.,8 giờ 10 phút.
"- Thank you, Mr. Chairman.",- Cảm ơn ông Chủ tịch.
"If I see you shoplifting again, I am calling the cops.","Nếu tôi thấy bạn ăn cắp vặt nữa, tôi sẽ gọi cảnh sát."
I'm so sorry I kept you guys UP-,Tôi rất xin lỗi vì đã giữ các bạn thức-
To take up with a woman is easy.,Cặp kè với một người phụ nữ thì dễ.
Okay. Yeah.,Được rồi. Ừ.
Such true and real words! Powerful words!,Những lời thật và đúng đắn làm sao! Những lời mạnh mẽ!
