english,gemini_translate
He's looking right at us. Don't worry.,Anh ấy đang nhìn thẳng vào chúng ta. Đừng lo.
I suppose she got lonely for it.,Tôi đoán cô ấy cảm thấy cô đơn vì điều đó.
"Look, I'm not crazy, okay?","Nghe này, tôi không điên, được chứ?"
Ta-er Al-Sahfer.,Ta-er Al-Sahfer.
What's your name?,Tên của bạn là gì?
- I'm gonna get you!,- Tôi sẽ bắt được anh!
Is that what you want?,Đó có phải là điều anh muốn không?
- What are you saying?,- Anh đang nói gì vậy?
Do you have something?,Anh có gì không?
- Yeah. Have a good night.,- Ừ. Chúc ngủ ngon.
Sha-ron.,Sha-ron.
You... have been a wise mentor... and a good friend. But... business must come first!,Anh... đã là một người cố vấn khôn ngoan... và một người bạn tốt. Nhưng... công việc phải đặt lên hàng đầu!
I want you to take her case.,Tôi muốn anh nhận vụ của cô ấy.
A place where romantics from all over the world come to wish for love.,Một nơi mà những người lãng mạn từ khắp nơi trên thế giới đến để cầu nguyện cho tình yêu.
You did a great job in there.,Anh đã làm rất tốt ở đó.
I'm grateful to be alive.,Tôi biết ơn vì còn sống.
He was almost in tears when he found out that I was bringing someone.,Anh ấy gần như bật khóc khi biết tôi đang đưa ai đó đến.
"Water broke, let's go!","Vỡ ối rồi, đi thôi!"
- Hey!,- Này!
I don't think so.,Tôi không nghĩ vậy.
