english,gemini_translate
Schedule for tomorrow.,Lịch trình cho ngày mai.
Just give me a little more time.,Chỉ cần cho tôi thêm một chút thời gian nữa thôi.
Show them some power.,Cho họ thấy sức mạnh đi.
I ain't trying shit!,Tôi không cố gắng cái quái gì cả!
"If you want to take over the world, we don't teach that, but give it a go.","Nếu bạn muốn thống trị thế giới, chúng tôi không dạy điều đó, nhưng cứ thử đi."
"Wheresoever thou goest, there also will I go.","Dù người đi đâu, tôi cũng sẽ đi theo đó."
Get me out of here!,Đưa tôi ra khỏi đây!
Get off me.,Bỏ tôi ra.
"If they're such good friends, why does he barely even mention him?","Nếu họ là bạn tốt như vậy, tại sao anh ta hầu như không bao giờ nhắc đến anh ấy?"
[DOOR OPENS],[CỬA MỞ]
How many of these are still in existence?,Có bao nhiêu cái trong số này vẫn còn tồn tại?
It's fine?,Ổn chứ?
We'll let you know.,Chúng tôi sẽ cho bạn biết.
"He's a fine piece of work, our little nobleman.","Hắn là một kẻ khó chịu, quý tộc nhỏ của chúng ta."
- Come on. Do something.,- Nào. Làm gì đó đi.
Know what this is?,Biết đây là gì không?
I'll see myself out.,Tôi tự đi ra đây.
you'll never see her.,bạn sẽ không bao giờ gặp lại cô ấy đâu.
I'm sure you endured yours with grace.,Tôi chắc bạn đã chịu đựng điều đó một cách duyên dáng.
"Maybe someone quiet, who seemed like he was always just a little too close.","Có lẽ là một người trầm tính, người mà dường như luôn ở quá gần."
