english,gemini_translate
"Well, sometimes I think he's pretty much a ghost.","Chà, đôi khi tôi nghĩ anh ta gần như là một bóng ma."
What was a mistake?,Sai lầm là gì?
We lost Ivory.,Chúng ta đã mất Ivory.
You're welcome.,Không có gì.
I've been thinking.,Tôi đã suy nghĩ.
"- Are, uh, having dinner with my dad tomorrow night.","- À, ừm, tối mai ăn tối với bố tôi."
Hello Sarah.,Chào Sarah.
OK.,Được.
- Dave?,- Dave?
Miss?,Cô?
"No, you didn't.","Không, anh không làm vậy."
"Well, everyone's got...","Chà, mọi người đều có..."
"- Thankyou, sir.",- Cảm ơn ngài.
Illegal combatant on the Grid.,Chiến binh bất hợp pháp trên Mạng lưới.
I gotta go. Julian's interview's on. I'll see you on Friday.,Tôi phải đi đây. Buổi phỏng vấn của Julian đang chiếu. Hẹn gặp lại bạn vào thứ Sáu.
"""This is him. This is the one.""","""Đây là anh ta. Đây là người đó."""
"Joe, look out!","Joe, coi chừng!"
The king shits and the Hand wipes.,Vua đi vệ sinh và Quân sư lau chùi.
"So... 1 bang: yes, 2 means no.","Vậy... 1 tiếng: có, 2 tiếng nghĩa là không."
Not here.,Không ở đây.
