english,gemini_translate
Game.,Trò chơi.
"Or the ""massage therapist."" None of the flight attendants from every major and regional airline who've wheeled their carts through this house.","Hoặc là ""nhân viên mát-xa."" Không một tiếp viên hàng không nào từ mọi hãng lớn và khu vực đã đẩy xe qua ngôi nhà này."
- In a nutshell?,- Nói tóm lại?
You invited your ex?,Anh mời người yêu cũ của anh à?
- Am I going through a canyon?,- Tôi đang đi qua một hẻm núi à?
- I got it.,- Tôi hiểu rồi.
I got Salvatore.,Tôi có Salvatore rồi.
Nothing.,Không có gì.
Are you okay? !,Anh ổn không?!
"I told him I had nothing to give, and I didn't.","Tôi nói với anh ta là tôi không có gì để cho, và tôi thật sự không có."
- We did it.,- Chúng ta đã làm được.
"""This... stuff""?","""Cái... thứ này""?"
Lars Thorwald.,Lars Thorwald.
"I'm the head of security, lady.","Tôi là trưởng phòng an ninh, cô nương."
Jim.,Jim.
Really? You never fantasize about leaving me for another man?,Thật sao? Em chưa bao giờ tưởng tượng đến việc bỏ anh để đi với người đàn ông khác à?
Go home to Chuck.,Về nhà với Chuck đi.
Maybe like that:,Có lẽ là như thế này:
What kind of fighting style is that?,Đó là kiểu võ gì vậy?
- They up and left.,- Họ đã bỏ đi rồi.
